Date	TYPE			PIN
1/27/2024 15:16:50	Out			1116
1/27/2024 15:29:36	Out			10Pulisic
1/27/2024 16:12:45	Out			0016
1/27/2024 16:15:09	Out			JeffBagels
1/27/2024 16:59:26	Out			0305009
1/27/2024 17:05:55	Out			Acrux
1/27/2024 17:33:06	Out			Cade55
1/27/2024 18:01:45	Out			J.T.M.
1/27/2024 18:02:06	Out			phoenix
1/27/2024 18:12:24	Out			Fire3xit
1/27/2024 18:13:31	Out			C8H10N4O2
1/27/2024 18:13:45	Out			Auditore
1/27/2024 18:32:25	Out			s4dr4
